Text,Phonetic,Meaning,Example,DifficultyLevel
output,/ˈaʊtpʊt/,n. 输出,Manufacturing output has increased by 8 per cent.,3
outrage,/ˈaʊtreɪdʒ/,n. 暴行,The judge's remarks caused public outrage.,4
outside,/ˈaʊtsaɪd/,adj. 外部,The outside walls are damp.,1
outsider,/ˌaʊtˈsaɪdə(r)/,n. 局外人,Here she felt she would always be an outsider.,4
outstanding,/aʊtˈstændɪŋ/,adj. 杰出的,an outstanding player/achievement/success,3
oven,/ˈʌvn/,n. 烤箱,Take the cake out of the oven.,1
over,/ˈəʊvə(r)/,adv. 超过,I stopped and crossed over.,1
overall,/ˌəʊvərˈɔːl/,adj. 全面的,"There will be winners in each of three age groups, and one overall winner.",3
overcome,/ˌəʊvəˈkʌm/,v. 克服,She overcame injury to win the Olympic gold medal.,3
overlook,/ˌəʊvəˈlʊk/,v. 俯瞰,He seems to have overlooked one important fact.,4
overly,/ˈəʊvəli/,adv. 过于,I'm not overly fond of pasta.,4
overnight,/ˌəʊvəˈnaɪt/,adv. 过夜,We stayed overnight in London after the theatre.,3
overseas,/ˌəʊvəˈsiːz/,adj. 海外,The firm is expanding into overseas markets.,3
oversee,/ˌəʊvəˈsiː/,v. 监督,United Nations observers oversaw the elections.,4
overturn,/ˌəʊvəˈtɜːn/,v. 颠覆,The car skidded and overturned.,4
overwhelm,/ˌəʊvəˈwelm/,v. 压倒,She was overwhelmed by feelings of guilt.,4
overwhelming,/ˌəʊvəˈwelmɪŋ/,adj. 压倒,The evidence against him was overwhelming.,4
owe,/əʊ/,v. 欠,"owe somebody something, She still owes her father £3 000.",3
own,/əʊn/,adj. 自己的,It was her own idea.,1
owner,/ˈəʊnə(r)/,n. 所有者,a dog/pet/gun owner,1
ownership,/ˈəʊnəʃɪp/,n. 所有权,a growth in home ownership,3
oxygen,/ˈɒksɪdʒən/,n. 氧,The patient didn't seem to be getting enough oxygen.,3
pace,/peɪs/,n. 步伐,"at a… pace, to set off at a steady/gentle/leisurely pace",3
pack,/pæk/,n. 盒,"pack of something, a pack of cigarettes/gum",2
package,/ˈpækɪdʒ/,n. 包裹,A large package has arrived for you.,2
packet,/ˈpækɪt/,n. 包,a packet of biscuits/cigarettes/crisps,3
pad,/pæd/,n. 软垫,medicated cleansing pads for sensitive skin,4
page,/peɪdʒ/,n. 页,Turn to page 64.,1
pain,/peɪn/,n. 疼痛,a cry of pain,1
painful,/ˈpeɪnfl/,adj. 痛苦,Is your back still painful?,2
paint,/peɪnt/,n. 画,white paint,1
painter,/ˈpeɪntə(r)/,n. 画家,He works as a painter and decorator.,1
painting,/ˈpeɪntɪŋ/,n. 绘画,a watercolour/crylic painting ,1
pair,/peə(r)/,n. 一对,a pair of shoes/boots,1
palace,/ˈpæləs/,n. 宫殿,Buckingham Palace,1
pale,/peɪl/,adj. 苍白,a pale complexion,2
palm,/pɑːm/,n. 棕榈,a date palm,3
pan,/pæn/,n. 平底锅,,2
panel,/ˈpænl/,n. 控制板,One of the glass panels in the front door was cracked.,3
panic,/ˈpænɪk/,n. 恐慌,a moment of panic,3
pants,/pænts/,n. 裤子,a pair of pants,1
paper,/ˈpeɪpə(r)/,n. 纸,a piece/sheet of paper,1
parade,/pəˈreɪd/,n. 游行,the Lord Mayor’s parade,3
paragraph,/ˈpærəɡrɑːf/,n. 段落,an opening/introductory paragraph,1
parallel,/ˈpærəlel/,adj. 平行线,parallel lines,3
parameter,/pəˈræmɪtə(r)/,n. 范围,to set/define the parameters,4
parent,/ˈpeərənt/,n. 家长,He's still living with his parents.,1
parental,/pəˈrentl/,adj. 父母的,parental responsibility/rights,4
parish,/ˈpærɪʃ/,n. 教区,a parish church/priest,4
park,/pɑːk/,n. 公园,Hyde Park,1
parking,/ˈpɑːkɪŋ/,n. 停車處,There is no parking here between 9 a.m. and 6 p.m.,1
parliament,/ˈpɑːləmənt/,n. 议会,The German parliament is called the ‘Bundestag’.,3
parliamentary,/ˌpɑːləˈmentri/,adj. 议会,parliamentary elections,4
part,/pɑːt/,n. 部分,We spent part of the time in the museum.,1
part-time,/ˌpɑːt ˈtaɪm/,adj. 兼职,She's looking for a part-time job.,3
partial,/ˈpɑːʃl/,adj. 部分的,It was only a partial solution to the problem.,4
partially,/ˈpɑːʃəli/,adv. 部分地,The road was partially blocked by a fallen tree.,4
participant,/pɑːˈtɪsɪpənt/,n. 参与者,The average age of study participants was 48 years.,3
participate,/pɑːˈtɪsɪpeɪt/,v. 参加,Anyone who wishes to participate is welcome.,2
participation,/pɑːˌtɪsɪˈpeɪʃn/,n. 参与,a show with lots of audience participation,3
particular,/pəˈtɪkjələ(r)/,adj. 特别的,There is one particular patient I'd like you to see.,1
particularly,/pəˈtɪkjələli/,adv. 特别,particularly useful/important/interesting,2
partly,/ˈpɑːtli/,adv. 部分地,Some people are unwilling to attend the classes partly because of the cost involved.,3
partner,/ˈpɑːtnə(r)/,n. 伙伴,a dance/tennis partner,1
partnership,/ˈpɑːtnəʃɪp/,n. 合伙,to be in/to go into partnership,3
party,/ˈpɑːti/,n. 派对,a dinner/tea/cocktail party,1
pass,/pɑːs/,n. 经过,a boarding pass (= for a plane),2
passage,/ˈpæsɪdʒ/,n. 通道,A dark narrow passage led to the main hall.,3
passenger,/ˈpæsɪndʒə(r)/,n. 乘客,airline/cruise/rail/bus passengers,1
passing,/ˈpɑːsɪŋ/,n. 通过,The colour of the wood darkens with the passing of time.,4
passion,/ˈpæʃn/,n. 热情,I admire the passion and commitment shown by the players.,2
passionate,/ˈpæʃənət/,adj. 热情的,to have a passionate nature,3
passive,/ˈpæsɪv/,adj. 被动的,He played a passive role in the relationship.,4
passport,/ˈpɑːspɔːt/,n. 护照,a valid passport,1
password,/ˈpɑːswɜːd/,n. 密码,Enter a username and password to get into the system.,3
past,/pɑːst/,adj. 过去的,in past years/centuries,1
pastor,/ˈpɑːstə(r)/,n. 牧师,He was ordained a pastor in the Lutheran Church.,4
patch,/pætʃ/,n. 修补,a black dog with a white patch on its back,4
patent,/ˈpætnt/,n. 专利,"patent on something, to apply for/obtain/take out a patent on an invention",4
path,/pɑːθ/,n. 小路,a dirt/gravel/concrete path,2
pathway,/ˈpɑːθweɪ/,n. 途径,They came out of the woods and onto a pathway.,4
patience,/ˈpeɪʃns/,n. 耐心,She has little patience with (= will not accept or consider) such views.,3
patient,/ˈpeɪʃnt/,adj. 病人,You'll just have to be patient and wait till I'm finished.,3
patrol,/pəˈtrəʊl/,n. 巡逻,Security guards make regular patrols at night.,4
patron,/ˈpeɪtrən/,n. 赞助人,Frederick the Great was the patron of many artists.,4
pattern,/ˈpætn/,n. 图案,changing patterns of urban life,1
pause,/pɔːz/,n. 暂停,There was a long pause before she answered.,3
pay,/peɪ/,n. 支付,"Her job is hard work, but the pay is good.",1
payment,/ˈpeɪmənt/,n. 支付,What method of payment do you prefer?,2
peace,/piːs/,n. 和平,world peace ,1
peaceful,/ˈpiːsfl/,adj. 和平,a peaceful protest/demonstration,2
peak,/piːk/,n. 顶峰,Traffic reaches its peak between 8 and 9 in the morning.,4
peasant,/ˈpeznt/,n. 农民,peasant farmers,4
peculiar,/pɪˈkjuːliə(r)/,adj. 奇特,a peculiar smell/taste,4
peer,/pɪə(r)/,n. 同行,She enjoys the respect of her peers.,3
pen,/pen/,n. 笔,an ink pen,1
penalty,/ˈpenəlti/,n. 惩罚,to impose a penalty,3
pencil,/ˈpensl/,n. 铅笔,I'll get a pencil and paper.,1
penny,/ˈpeni/,n. 一分钱,He had a few pennies in his pocket.,1
pension,/ˈpenʃn/,n. 养老金,,3
people,/ˈpiːpl/,n. 人们,At least ten people were killed in the crash.,1
pepper,/ˈpepə(r)/,n. 胡椒,Season with salt and pepper,1
per,/pə(r)/,prep. 每,"Rooms cost £50 per person, per night.",1
per cent,/pə ˈsent/,adj. 百分比,a 15 per cent rise in price,1
perceive,/pəˈsiːv/,v. 感知,"perceive somebody/something/yourself (as something), This discovery was perceived as a major breakthrough.",3
percentage,/pəˈsentɪdʒ/,n. 百分比,"percentage of something/somebody, What percentage of the population is/are overweight?",2
perception,/pəˈsepʃn/,n. 洞察力,a campaign to change public perception of the police,3
perfect,/ˈpɜːfɪkt/,adj. 完美的,in perfect condition,1
perfectly,/ˈpɜːfɪktli/,adv. 完美,It's perfectly normal to feel like this.,2
perform,/pəˈfɔːm/,v. 履行,to perform a song/dance/play,1
performance,/pəˈfɔːməns/,n. 表现,The performance starts at seven.,2
perhaps,/pəˈhæps/,adv. 也许,‘Are you going to come?’ ‘Perhaps. I'll see how I feel.’,1
period,/ˈpɪəriəd/,n. 时期,a long/an extended period,1
permanent,/ˈpɜːmənənt/,adj. 永恒的,She was unable to find a permanent job.,3
permanently,/ˈpɜːmənəntli/,adv. 永久地,The stroke left his right side permanently damaged.,3
permission,/pəˈmɪʃn/,n. 允许,"permission for something, You must ask permission for all major expenditure.",1
permit,/ˈpɜːmɪt/,n. 允许,a parking/building permit,3
persist,/pəˈsɪst/,v. 坚持,"persist in doing something, Why do you persist in blaming yourself for what happened?",4
persistent,/pəˈsɪstənt/,adj. 执着的,How do you deal with persistent salesmen who won't take no for an answer?,4
person,/ˈpɜːsn/,n. 人,What sort of person would do a thing like that?,1
personal,/ˈpɜːsənl/,adj. 个人的,The novel is written from personal experience.,1
personality,/ˌpɜːsəˈnæləti/,n. 性格,His wife has a strong personality.,1
personally,/ˈpɜːsənəli/,adv. 亲自,"Personally, I prefer the second option.",2
personnel,/ˌpɜːsəˈnel/,n. 人员,There is a severe shortage of skilled personnel.,4
perspective,/pəˈspektɪv/,n. 看法,a global perspective,3
persuade,/pəˈsweɪd/,v. 说服,"persuade somebody to do something, Try to persuade him to come.",2
pet,/pet/,n. 宠物,Do you have any pets?,1
petition,/pəˈtɪʃn/,n. 请愿,"petition against something, Would you like to sign our petition against experiments on animals?",4
petrol,/ˈpetrəl/,n. 汽油,to fill a car up with petrol ,1
phase,/feɪz/,n. 阶段,during the initial/final phase,3
phenomenon,/fəˈnɒmɪnən/,n. 现象,cultural/natural phenomena,3
philosopher,/fəˈlɒsəfə(r)/,n. 哲学家,We studied the writings of the Greek philosopher Aristotle.,4
philosophical,/ˌfɪləˈsɒfɪkl/,adj. 哲学的,the philosophical writings of Kant,4
philosophy,/fəˈlɒsəfi/,n. 哲学,"philosophy of something, the philosophy of science",3
phone,/fəʊn/,n. 电话,I have to make a phone call.,1
photo,/ˈfəʊtəʊ/,n. 照片,a colour/black-and-white photo,1
photograph,/ˈfəʊtəɡrɑːf/,n. 照片,aerial photographs of the crash site ,1
photographer,/fəˈtɒɡrəfə(r)/,n. 摄影师,a wedding/wildlife/fashion photographer,2
photography,/fəˈtɒɡrəfi/,n. 摄影,Her hobbies include hiking and photography.,2
phrase,/freɪz/,n. 短语,a memorable/catchy phrase,1
physical,/ˈfɪzɪkl/,adj. 身体的,physical activity/fitness,1
physician,/fɪˈzɪʃn/,n. 医生,Dr Dennett is a practicing family physician in Atlanta.,4
physics,/ˈfɪzɪks/,n. 物理,a degree in physics,1
piano,/piˈænəʊ/,n. 钢琴,to play the piano,1
pick,/pɪk/,n. 挑选,Take your pick (= choose).,3
picture,/ˈpɪktʃə(r)/,n. 图片,He likes books with lots of pictures in them.,1
piece,/piːs/,n. 片,"piece of something, She wrote something on a small piece of paper.",1
pig,/pɪɡ/,n. 猪,a pig farmer,1
pile,/paɪl/,n. 桩,"pile of something, a pile of clothes/paper",3
pill,/pɪl/,n. 丸,a vitamin pill,3
pilot,/ˈpaɪlət/,n. 飞行员,an airline pilot,1
pin,/pɪn/,n. 别针,Use pins to keep the patch in place while you sew it on.,2
pink,/pɪŋk/,adj. 粉色的,pale pink roses,1
pioneer,/ˌpaɪəˈnɪə(r)/,n. 先锋,a pioneer in the field of microsurgery,4
pipe,/paɪp/,n. 管道,Both hot and cold water pipes should be properly insulated.,2
pipeline,/ˈpaɪplaɪn/,n. 管道,There are plans to lay a gas pipeline through the region.,4
pirate,/ˈpaɪrət/,n. 海盗,There were reports that a pirate ship had come looking for treasure in the cove.,4
pit,/pɪt/,n. 坑,We dug a deep pit in the yard.,4
pitch,/pɪtʃ/,n. 沥青,a football pitch,3
pity,/ˈpɪti/,n. 遗憾,"a pity (that…), It's a pity that you can't stay longer.",3
place,/pleɪs/,n. 地方,"in a place, Keep your purse in a safe place.",1
placement,/ˈpleɪsmənt/,n. 放置,a job placement service,3
plain,/pleɪn/,adj. 清楚的,a plain but elegant dress,3
plan,/plæn/,n. 计划,"plan for something, Do you have any plans for the summer?",1
plane,/pleɪn/,n. 飞机,a passenger/fighter/military/private plane,1
planet,/ˈplænɪt/,n. 行星,the planets of our solar system,1
planning,/ˈplænɪŋ/,n. 规划,The department is responsible for all financial planning.,2
plant,/plɑːnt/,n. 植物,All plants need light and water.,1
plastic,/ˈplæstɪk/,adj. 塑料,a plastic bag/bottle/cup,1
plate,/pleɪt/,n. 盘子,sandwiches on a plate,1
platform,/ˈplætfɔːm/,n. 平台,"(British English), What platform does it go from?",1
play,/pleɪ/,n. 玩,a stage/radio play,1
player,/ˈpleɪə(r)/,n. 玩家,a football/tennis/chess player,1
plea,/pliː/,n. 恳求,"plea for something, She made an impassioned plea for help.",4
plead,/pliːd/,v. 恳求,"plead (with somebody) (to do something), She pleaded with him not to go.",4
pleasant,/ˈpleznt/,adj. 令人愉快的,a pleasant evening/atmosphere/walk,2
please,/pliːz/,excl. 请,Please sit down.,1
pleased,/pliːzd/,adj. 高兴,You're coming? I'm so pleased.,1
pleasure,/ˈpleʒə(r)/,n. 乐趣,His eyes lit up with pleasure.,2
pledge,/pledʒ/,n. 保证,"pledge (of something), a pledge of support",4
plenty,/ˈplenti/,pron. 足够,plenty of eggs/money/time,2
plot,/plɒt/,n. 阴谋,It's hard to follow the plot of the film.,2
plug,/plʌɡ/,n. 插头,The iron is fitted with a three-pin plug.,4
plunge,/plʌndʒ/,to move or make somebody/something move suddenly forwards and/or downwards,"+ adv./prep., She lost her balance and plunged 100 feet to her death.",4
plus,/plʌs/,adj. 加,The work will cost £10 000 plus.,3
pocket,/ˈpɒkɪt/,n. 口袋,a jacket/coat/shirt/trouser pocket,1
poem,/ˈpəʊɪm/,n. 诗,His collected poems were published after the war.,2
poet,/ˈpəʊɪt/,n. 诗人,an internationally renowned poet,2
poetry,/ˈpəʊətri/,n. 诗,lyric/epic poetry,2
point,/pɔɪnt/,n. 观点,She made several interesting points in the article.,1
pointed,/ˈpɔɪntɪd/,adj. 尖,a pointed chin,3
poison,/ˈpɔɪzn/,n. 毒,Some mushrooms contain a deadly poison.,2
poisonous,/ˈpɔɪzənəs/,adj. 有毒,poisonous chemicals/fumes/plants,2
pole,/pəʊl/,n. 极,a tent pole,4
police,/pəˈliːs/,n. 警察,Get out of the house or I'll call the police.,1
policeman,/pəˈliːsmən/,n. 警察,a plain-clothes/uniformed policeman,1
policy,/ˈpɒləsi/,n. 政策,"policy on something, the present government’s policy on education",2
polite,/pəˈlaɪt/,adj. 有礼貌的,"polite to somebody, Please be polite to our guests.",1
political,/pəˈlɪtɪkl/,adj. 政治的,a monarch without political power,2
politician,/ˌpɒləˈtɪʃn/,n. 政治家,democratically elected politicians,2
politics,/ˈpɒlətɪks/,n. 政治,world/international politics,2
poll,/pəʊl/,n. 轮询,to carry out/conduct a poll,4
pollution,/pəˈluːʃn/,n. 污染,air/water pollution,1
pond,/pɒnd/,n. 池塘,a fish pond,4
pool,/puːl/,n. 水池,an indoor/outdoor pool,1
poor,/pɔː(r)/,adj. 贫穷的,They were too poor to buy shoes for the kids.,1
pop,/pɒp/,adj. 流行音乐,a pop song,1
popular,/ˈpɒpjələ(r)/,adj. 受欢迎的,Andalucia is a popular tourist destination.,1
popularity,/ˌpɒpjuˈlærəti/,n. 人气,the increasing popularity of cycling,3
population,/ˌpɒpjuˈleɪʃn/,n. 人口,One third of the world’s population consumes/consume two thirds of the world’s resources.,1
port,/pɔːt/,n. 港口,a container/fishing ports,2
portfolio,/pɔːtˈfəʊliəʊ/,n. 文件夹,I left my portfolio on the train.,4
portion,/ˈpɔːʃn/,n. 部分,a substantial/significant portion of the population,3
portrait,/ˈpɔːtreɪt/,n. 肖像,"portrait of somebody, a portrait of his wife ",2
portray,/pɔːˈtreɪ/,v. 写真,The painting portrays the duke’s third wife.,4
pose,/pəʊz/,v. 姿势,to pose a threat/risk/challenge/danger,3
position,/pəˈzɪʃn/,n. 位置,Where would be the best position for the lights?,1
positive,/ˈpɒzətɪv/,adj. 积极的,The tests have so far yielded positive results.,1
possess,/pəˈzes/,v. 具有,He was charged with possessing a shotgun without a licence.,3
possession,/pəˈzeʃn/,n. 拥有,Prisoners were allowed no personal possessions.,1
possibility,/ˌpɒsəˈbɪləti/,n. 可能性,Bankruptcy is a real possibility if sales don't improve.,1
possible,/ˈpɒsəbl/,adj. 可能的,"possible to do something, New technology has made it possible to communicate more easily.",1
possibly,/ˈpɒsəbli/,adv. 可能,It was possibly their worst performance ever.,2
post,/pəʊst/,n. 邮政,"by post, I'll send the original to you by post.",1
post-war,/ˌpəʊst ˈwɔː(r)/,adj. 战后,the post-war years,4
poster,/ˈpəʊstə(r)/,n. 海报,campaign/election posters,1
postpone,/pəˈspəʊn/,v. 推迟,"postpone something, The game has already been postponed three times.",4
pot,/pɒt/,n. 锅,pots and pans,2
potato,/pəˈteɪtəʊ/,n. 土豆,Will you peel the potatoes for me?,1
potential,/pəˈtenʃl/,adj. 潜在的,potential customers/buyers/investors/clients,3
potentially,/pəˈtenʃəli/,adv. 潜在地,a potentially dangerous situation,3
pound,/paʊnd/,n. 磅,a ten-pound note,1
pour,/pɔː(r)/,v. 倒,"pour something + adv./prep., Pour the sauce over the pasta.",2
poverty,/ˈpɒvəti/,n. 贫困,conditions of extreme/abject poverty,2
powder,/ˈpaʊdə(r)/,n. 粉末,milk/chilli/cocoa powder,2
power,/ˈpaʊə(r)/,n. 力量,"power to do something, He has the power to make things very unpleasant for us.",1
powerful,/ˈpaʊəfl/,adj. 强大的,an incredibly powerful organization,2
practical,/ˈpræktɪkl/,adj. 实际的,to have gained practical experience of the work,2
practice,/ˈpræktɪs/,n. 实践,conversation practice,1
